Date,Department,Resource_ID,Cloud_Service,Resource_Type,Region,CPU_Usage_Percent,Memory_Usage_Percent,Storage_Usage_GB,Usage_Hours,Cost_USD
2025-01-01 00:00:00,Finance,RES00475,Compute,Serverless,US East,17.48,20.76,41.58,13.07,24.31
2025-01-01 00:00:00,Finance,RES00558,Storage,Object Storage,Asia Pacific,20.27,35.62,469.05,14.54,12.69
2025-01-01 00:00:00,Finance,RES03064,Storage,Object Storage,India,56.83,70.13,49.41,18.19,27.51
2025-01-01 00:00:00,Finance,RES04594,Networking,Network Gateway,US West,47.08,68.7,31.24,15.93,51.92
2025-01-01 00:00:00,Finance,RES04728,Compute,Container,India,86.45,77.98,53.75,15.62,50.74
2025-01-01 00:00:00,Finance,RES06048,Compute,Serverless,India,49.78,52.18,262.79,11.3,23.78
2025-01-01 00:00:00,Finance,RES09116,Networking,Load Balancer,US East,70.53,61.41,309.39,21.57,70.68
2025-01-01 00:00:00,HR,RES02267,Database,Database Server,Asia Pacific,54.94,54.34,61.05,17.37,141.69
2025-01-01 00:00:00,HR,RES05109,Compute,Virtual Machine,US East,54.03,53.75,15.65,14.35,63.67
2025-01-01 00:00:00,HR,RES07208,Networking,Load Balancer,Asia Pacific,17.18,23.65,191.72,12.43,37.38
2025-01-01 00:00:00,HR,RES10482,Database,Database Server,India,45.74,55.17,353.97,5.04,47.74
2025-01-01 00:00:00,IT,RES00734,Compute,Serverless,US East,6.89,23.21,64.18,12.87,22.33
2025-01-01 00:00:00,IT,RES01485,Storage,Block Storage,Europe,57.9,52.41,141.33,13.88,22.46
2025-01-01 00:00:00,IT,RES02400,Storage,Object Storage,India,68.99,63.39,50.15,18,30.45
2025-01-01 00:00:00,IT,RES02624,Compute,Container,Europe,82.93,75.09,261.58,13.67,54.4
2025-01-01 00:00:00,IT,RES11883,Database,Data Warehouse,US East,16.75,25.79,244.27,6.37,62.17
2025-01-01 00:00:00,Marketing,RES04917,Compute,Container,US East,67.31,63.29,169.55,16.09,48.68
2025-01-01 00:00:00,Marketing,RES08263,Networking,Load Balancer,India,31.13,24.97,56.16,9.74,19.78
2025-01-01 00:00:00,Operations,RES00846,Compute,Serverless,US East,29.34,44.1,28.98,21.04,32.9
2025-01-01 00:00:00,Operations,RES03827,Compute,Serverless,US West,86.84,78.67,136.15,7.95,42.04
2025-01-01 00:00:00,Operations,RES08498,Database,Database Server,US East,69.19,62.32,146.47,15.88,124.51
2025-01-01 00:00:00,Operations,RES10342,Database,Database Server,US East,16.42,35.01,287.6,14.54,97.06
2025-01-01 00:00:00,Sales,RES01536,Compute,Virtual Machine,India,17.49,37.41,31.15,4.65,18.02
2025-01-01 00:00:00,Sales,RES04877,Compute,Serverless,US West,84.51,91.99,61.56,18.76,54.38
2025-01-01 00:00:00,Sales,RES05723,Compute,Serverless,Asia Pacific,57.84,63.61,101.34,21.19,54.88
2025-01-01 00:00:00,Sales,RES08346,Networking,Load Balancer,Asia Pacific,63.27,67.67,51.03,13.83,54.75
2025-01-02 00:00:00,Finance,RES00055,Database,Database Server,US West,97.57,92.9,159.03,23.85,196.32
